MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
Hp,12go,ddr4,intel,i5,11,:intel®iris®xᵉintégré,,,ssd,,noir,1.75,,"6,899.00 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,8,:graphiquesuhdintel,,256.0,ssd,,argent,3,,"3,500.00 Dhs",0 out of 5
Toshiba,4go,ddr3,intel,i5,3,,,128.0,ssd,,noir,1.6,"3""","1,999.00 Dhs",0 out of 5
DELL,16go,ddr4,intel,i5,8,:inteluhdgraphics620,,512.0,ssd,,noir,1.2,"14""","3,400.00 Dhs",0 out of 5
Lenovo,2,ddr4,intel,i5,5,,1000.0,,hdd,,noir,1,"14""","3,999.00 Dhs",0 out of 5
Lenovo,16go,ddr4,intel,i5,6,:intel®hdgraphics520,,256.0,ssd,,noir,1.5,"14""","2,490.00 Dhs",4 out of 5
Asus,4gb,ddr4,,,,:intel®uhdgraphics600,,,,,noir,2,,"2,090.00 Dhs",0 out of 5
Toshiba,8go,ddr4,intel,i5,10,:intel®uhdgraphics;,,256.0,ssd,,noire,2,,"5,300.00 Dhs",0 out of 5
Fujitsu,8go,ddr4,intel,i5,6,:intégrée-intelhdgraphics5500,,256.0,ssd,,noireargent,1.32,,"1,872.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i5,12,,,,ssd,,argent,1.74,"6""","7,599.00 Dhs",0 out of 5
DELL,16go,,,i5,,,,,,256.0,noir,1.5,,"3,080.00 Dhs",0 out of 5
DELL,8go,ddr3,intel,i5,,,,128.0,ssd,,gray,2.12,,"2,699.00 Dhs",0 out of 5
Asus,4gb,ddr4,intel,,4,intel®uhd600,,,,,noir,1,"6""","2,249.00 Dhs",0 out of 5
Hp,16go,ddr4,intel,i5,10,:inteluhdgraphics620,,256.0,ssd,,gris,1.48,14pouce,"4,800.00 Dhs",0 out of 5
DELL,8go,ddr3,intel,i5,6,:intelhdgraphicsfamily,,,,,noir,1.25,"5""","2,700.00 Dhs",5 out of 5
